@relation out.arff_feaSele

@attribute Fea0 numeric
@attribute Fea1 numeric
@attribute Fea2 numeric
@attribute Fea3 numeric
@attribute Fea4 numeric
@attribute Fea5 numeric
@attribute Fea6 numeric
@attribute Fea7 numeric
@attribute Fea8 numeric
@attribute Fea9 numeric
@attribute Fea10 numeric
@attribute Fea11 numeric
@attribute Fea12 numeric
@attribute Fea13 numeric
@attribute Fea14 numeric
@attribute Fea15 numeric
@attribute Fea16 numeric
@attribute Fea17 numeric
@attribute Fea18 numeric
@attribute Fea19 numeric
@attribute Fea20 numeric
@attribute Fea21 numeric
@attribute Fea22 numeric
@attribute Fea23 numeric
@attribute Fea24 numeric
@attribute Fea25 numeric
@attribute Fea26 numeric
@attribute Fea27 numeric
@attribute Fea28 numeric
@attribute Fea29 numeric
@attribute Fea30 numeric
@attribute Fea31 numeric
@attribute Fea32 numeric
@attribute Fea33 numeric
@attribute Fea34 numeric
@attribute Fea35 numeric
@attribute Fea36 numeric
@attribute Fea37 numeric
@attribute Fea38 numeric
@attribute Fea39 numeric
@attribute Fea40 numeric
@attribute Fea41 numeric
@attribute Fea42 numeric
@attribute Fea43 numeric
@attribute Fea44 numeric
@attribute Fea45 numeric
@attribute Fea46 numeric
@attribute Fea47 numeric
@attribute Fea48 numeric
@attribute Fea49 numeric
@attribute Fea50 numeric
@attribute Fea51 numeric
@attribute Fea52 numeric
@attribute Fea53 numeric
@attribute Fea54 numeric
@attribute Fea55 numeric
@attribute Fea56 numeric
@attribute Fea57 numeric
@attribute Fea58 numeric
@attribute Fea59 numeric
@attribute Fea60 numeric
@attribute Fea61 numeric
@attribute Fea62 numeric
@attribute Fea63 numeric
@attribute Fea64 numeric
@attribute Fea65 numeric
@attribute Fea66 numeric
@attribute Fea67 numeric
@attribute Fea68 numeric
@ATTRIBUTE class {0,1} 

@data

0.4912281,0.5384615,0.48749998,0.4984615,0.55416673,0.42857143,0.52380955,0.5222222,0.44285712,0.48611116,0.5897436,0.46153846,0.5833333,0.46153846,0.48333332,0.5166667,0.5625,0.55,0.42857146,0.47692305,0.5416667,0.5,0.65,0.5416667,0.41666666,0.5,0.4583333,0.59999996,0.4375,0.4375,0.48611113,0.56666666,0.4375,0.5416667,0.515625,0.5714286,0.45833334,0.5833333,0.53333336,0.40625,0.4970238,0.5625,0.50000006,0.46875,0.5,0.5,0.3541667,0.4791667,0.43750003,0.5,0.5208333,0.58928573,0.49999997,0.53333336,0.45833334,0.5,0.5576923,0.453125,0.4375,0.4583333,0.4933333,0.53125,0.43750003,0.39583334,0.5111111,0.44444448,0.484375,0.5,0.55,0
0.58245605,0.6181318,0.5416666,0.5507692,0.56250006,0.5595238,0.4761905,0.4888889,0.55714285,0.5833333,0.64102566,0.53846157,0.5625,0.5576923,0.48333335,0.5833334,0.47916666,0.5166667,0.48571435,0.61538464,0.5416667,0.5833333,0.68333334,0.5,0.5833333,0.43749997,0.4791667,0.6166666,0.5,0.453125,0.6111111,0.4777778,0.47916666,0.5625,0.46875,0.48214287,0.625,0.4895833,0.53333336,0.4375,0.4166667,0.5625,0.5625,0.421875,0.6041667,0.5416666,0.6041667,0.41666666,0.47916666,0.5208334,0.53749996,0.53571427,0.5714286,0.59999996,0.47916666,0.5769231,0.61538464,0.46875,0.4375,0.47916666,0.58666664,0.5,0.5833334,0.4375,0.46666667,0.5555556,0.421875,0.5208334,0.56666666,0
0.4982456,0.4752747,0.4791667,0.48615387,0.4958333,0.5833333,0.54761904,0.5555555,0.55714285,0.5555555,0.61538464,0.53846157,0.5208333,0.5192308,0.5,0.48333335,0.5625,0.4666667,0.5714286,0.4769231,0.48611107,0.5208333,0.5833333,0.5833333,0.5208334,0.5,0.4375,0.5666667,0.45833334,0.53125,0.45833337,0.5,0.4791667,0.5416667,0.453125,0.5,0.5625,0.5208333,0.5555556,0.453125,0.46428576,0.53125,0.43749997,0.453125,0.5625,0.45833334,0.5,0.5,0.47916666,0.43750006,0.5791667,0.75,0.50000006,0.6,0.47916666,0.5769231,0.5576923,0.546875,0.47916672,0.5625,0.4933333,0.5,0.45833334,0.4166667,0.4666667,0.4888889,0.4375,0.4166667,0.53333336,0
0.5017544,0.53296703,0.5104167,0.5107692,0.5333333,0.60714287,0.59523815,0.5222222,0.5857143,0.5694445,0.4615385,0.61538464,0.5625,0.5769231,0.50000006,0.56666666,0.4791667,0.45000002,0.4857143,0.49230772,0.5138889,0.45833334,0.45,0.47916666,0.4166667,0.50000006,0.39583334,0.56666666,0.5,0.46875,0.5277778,0.43333337,0.5,0.47916666,0.46875,0.4642857,0.5208333,0.4375,0.46666667,0.453125,0.4791667,0.46875,0.4375,0.40625,0.5208334,0.43750003,0.47916666,0.47916666,0.4375,0.45833337,0.58750004,0.48214287,0.61904764,0.55,0.5208333,0.5769231,0.48076922,0.453125,0.45833334,0.4375,0.44,0.484375,0.5208334,0.47916666,0.44444445,0.51111114,0.453125,0.43750003,0.45000002,0
0.42807016,0.44505492,0.41458333,0.4123077,0.45833334,0.5119048,0.4761905,0.44444448,0.45714283,0.43055558,0.43589747,0.46153846,0.5833333,0.63461536,0.5,0.6666667,0.45833334,0.48333335,0.51428574,0.44615385,0.48611113,0.625,0.48333332,0.5416667,0.39583334,0.4375,0.4166667,0.48333335,0.45833334,0.34375,0.48611113,0.4777778,0.47916666,0.5208333,0.46875,0.5535714,0.5,0.44791666,0.53333336,0.359375,0.4077381,0.453125,0.4791667,0.421875,0.47916666,0.5,0.45833334,0.39583334,0.47916666,0.5833333,0.59999996,0.5535714,0.47619048,0.65,0.33333334,0.5576923,0.46153846,0.5,0.5,0.5208333,0.53333336,0.484375,0.5,0.4375,0.4888889,0.53333336,0.46875,0.45833334,0.4666667,0
0.48421052,0.49725273,0.4604167,0.47076926,0.49583337,0.5238095,0.64285713,0.56666666,0.5,0.5277778,0.53846157,0.50769234,0.625,0.5769231,0.56666666,0.50000006,0.5416667,0.5833333,0.55714285,0.5692308,0.5416667,0.5416667,0.48333332,0.5416667,0.5416667,0.47916666,0.5208334,0.53333336,0.5416667,0.390625,0.5555556,0.6,0.4375,0.5833333,0.4375,0.5714286,0.5833333,0.6041666,0.44444448,0.421875,0.39880952,0.59375,0.45833334,0.375,0.43750003,0.4791667,0.4791667,0.4791667,0.5833334,0.47916666,0.51250005,0.53571427,0.45238096,0.5833333,0.4791667,0.59615386,0.5769231,0.515625,0.5208334,0.5416667,0.62666667,0.46875,0.47916672,0.4375,0.4888889,0.51111114,0.671875,0.4375,0.53333336,0
0.5192982,0.48626375,0.4604167,0.47076923,0.5125,0.5952381,0.5,0.45555553,0.5285714,0.5416667,0.56410253,0.5538462,0.6041667,0.59615386,0.55,0.56666666,0.6458334,0.53333336,0.4714286,0.5076923,0.5277778,0.5,0.5833333,0.4375,0.5,0.45833334,0.4583333,0.45000002,0.5,0.4375,0.5277778,0.54444444,0.4375,0.6458333,0.40625,0.44642857,0.8125,0.5104167,0.5111111,0.515625,0.45238096,0.515625,0.47916663,0.4375,0.4166667,0.39583334,0.5,0.4166667,0.41666666,0.47916672,0.5208334,0.5,0.52380955,0.48333332,0.41666666,0.5192308,0.5769231,0.484375,0.47916666,0.45833334,0.5199999,0.453125,0.5625,0.6666667,0.5777778,0.51111114,0.515625,0.50000006,0.6666667,0
0.49122804,0.5164835,0.43125,0.4830769,0.5333333,0.47619048,0.4761905,0.45555553,0.4714286,0.48611113,0.51282054,0.44615385,0.5416667,0.46153846,0.4666667,0.5833333,0.5208333,0.45000002,0.41428575,0.6615384,0.5833333,0.5416667,0.55,0.5,0.4166667,0.43750003,0.5,0.5,0.6458333,0.46875,0.5138889,0.5222222,0.4375,0.5,0.4375,0.4107143,0.5,0.4895833,0.4888889,0.390625,0.4464286,0.546875,0.4375,0.5,0.5,0.4375,0.41666666,0.45833334,0.4791667,0.5,0.5125,0.5,0.5,0.5,0.45833334,0.46153846,0.48076922,0.5,0.4375,0.4791667,0.50666666,0.546875,0.4791667,0.47916672,0.46666667,0.51111114,0.515625,0.4375,0.48333335,0
0.55789477,0.5164835,0.5416667,0.51076925,0.4958333,0.5714286,0.5714286,0.5222222,0.6571428,0.5138889,0.5641026,0.53846157,0.5833333,0.5576923,0.56666666,0.53333336,0.4583333,0.5,0.5714286,0.56923074,0.5277778,0.5,0.56666666,0.5208333,0.45833334,0.5208334,0.45833334,0.5,0.6041667,0.4375,0.5,0.44444445,0.5625,0.6041667,0.515625,0.4642857,0.5833333,0.3958333,0.51111114,0.40625,0.4315476,0.515625,0.5,0.421875,0.625,0.47916663,0.39583334,0.5,0.43749997,0.5208334,0.48333335,0.5,0.42857146,0.71666664,0.47916666,0.5576923,0.5,0.53125,0.4375,0.5416667,0.44000003,0.515625,0.5208333,0.3958333,0.5555556,0.4888889,0.484375,0.5,0.6333334,0
0.43157896,0.45054942,0.39166665,0.4830769,0.475,0.5833333,0.54761904,0.56666666,0.5714286,0.45833334,0.4615385,0.52307695,0.5416667,0.5,0.5166667,0.6,0.4375,0.45000002,0.61428565,0.5076923,0.5,0.5416667,0.48333332,0.625,0.45833334,0.4583333,0.4375,0.55,0.5,0.453125,0.5555556,0.44444448,0.43749997,0.6041667,0.4375,0.53571427,0.5,0.4375,0.46666667,0.484375,0.46428573,0.484375,0.5416666,0.421875,0.4166667,0.49999997,0.5,0.5208334,0.4375,0.47916672,0.47916666,0.48214287,0.4761905,0.5333333,0.4791667,0.5,0.5192308,0.484375,0.45833334,0.5208334,0.62666667,0.453125,0.43749997,0.45833337,0.44444445,0.5111111,0.640625,0.43750003,0.48333335,0
0.49122807,0.5192307,0.47083333,0.52307695,0.50416666,0.52380955,0.45238096,0.42222223,0.5,0.5277778,0.5641026,0.46153846,0.4375,0.48076922,0.48333335,0.55,0.5833334,0.53333336,0.51428574,0.4923077,0.5833333,0.5,0.5,0.45833334,0.47916666,0.5,0.5416666,0.5833334,0.5416667,0.40625,0.5,0.5555556,0.45833334,0.5208333,0.515625,0.5535714,0.5416667,0.5520833,0.5555556,0.40625,0.39583334,0.5,0.45833334,0.421875,0.47916666,0.4791667,0.5,0.4166667,0.5,0.5,0.54583335,0.53571427,0.5,0.7,0.4375,0.46153846,0.59615386,0.484375,0.47916666,0.43750003,0.44,0.734375,0.49999997,0.39583334,0.44444448,0.5555556,0.484375,0.41666666,0.61666673,0
0.44912282,0.48351648,0.42916667,0.52,0.55833334,0.45238099,0.45238096,0.44444445,0.42857143,0.5138889,0.46153846,0.40000004,0.5625,0.59615386,0.5166667,0.70000005,0.4791667,0.5,0.47142857,0.53846157,0.5277778,0.6666667,0.53333336,0.5625,0.43750003,0.4375,0.5416666,0.5666667,0.5416667,0.4375,0.48611107,0.42222223,0.43749997,0.5,0.4375,0.5535714,0.6875,0.44791666,0.48888886,0.390625,0.42261907,0.484375,0.47916666,0.40625,0.5416667,0.5,0.45833334,0.39583337,0.4375,0.4791667,0.5833334,0.5535714,0.4761905,0.65,0.4791667,0.5192308,0.65384614,0.515625,0.41666666,0.5625,0.53333336,0.453125,0.47916666,0.5,0.4888889,0.5111111,0.53125,0.4791667,0.53333336,0
0.47719297,0.4340659,0.4479167,0.46153846,0.5125,0.5119048,0.49999997,0.47777778,0.5142857,0.48611107,0.4615385,0.53846157,0.5833333,0.44230768,0.48333335,0.48333332,0.5,0.53333336,0.4714286,0.5538462,0.375,0.5,0.51666665,0.47916666,0.5,0.47916666,0.5,0.4666667,0.41666666,0.625,0.5416667,0.53333336,0.47916666,0.5416667,0.46875,0.48214287,0.5208333,0.4895833,0.4,0.515625,0.58035713,0.546875,0.41666666,0.53125,0.45833334,0.37499997,0.6458334,0.7291666,0.6458333,0.39583337,0.5833334,0.39285713,0.4761905,0.5333333,0.4791667,0.53846157,0.48076922,0.421875,0.5416666,0.5,0.48000002,0.421875,0.5208333,0.5833333,0.4666667,0.4888889,0.546875,0.6458334,0.51666665,0
0.522807,0.554945,0.48958337,0.61846155,0.55833334,0.48809525,0.45238093,0.46666667,0.4571429,0.48611107,0.5128205,0.5692308,0.5625,0.5769231,0.48333335,0.8333333,0.6458333,0.6166667,0.4714286,0.5538462,0.5416667,0.5833333,0.55,0.625,0.4791667,0.4583333,0.4791667,0.55,0.5,0.4375,0.5555555,0.54444444,0.4375,0.7708333,0.515625,0.5,0.6041667,0.49999997,0.48888886,0.390625,0.52380955,0.53125,0.4583333,0.40625,0.47916666,0.5,0.39583334,0.4791667,0.5,0.4791667,0.48333335,0.53571427,0.5714286,0.5833334,0.43749997,0.5576923,0.53846157,0.46875,0.45833334,0.5208334,0.56,0.5,0.41666663,0.41666666,0.4666667,0.4888889,0.5625,0.43750003,0.48333335,0
0.49824563,0.48626375,0.475,0.5538461,0.52500004,0.6785714,0.5714286,0.5,0.55714285,0.50000006,0.41025642,0.61538464,0.47916666,0.46153846,0.51666665,0.56666666,0.5,0.6166667,0.51428574,0.44615385,0.5416667,0.6041667,0.48333332,0.5416667,0.5416667,0.43749997,0.5,0.4666667,0.5833333,0.4375,0.48611113,0.48888886,0.4375,0.5208333,0.546875,0.51785713,0.625,0.53125,0.51111114,0.453125,0.4434524,0.46875,0.5208333,0.375,0.4166667,0.4166667,0.50000006,0.45833337,0.4375,0.5208333,0.43333337,0.4107143,0.47619048,0.5333333,0.4791667,0.61538464,0.5769231,0.40625,0.4375,0.62499994,0.6,0.46875,0.41666666,0.5208334,0.46666667,0.46666667,0.5625,0.50000006,0.5,0
0.40701756,0.4917582,0.4166667,0.50153846,0.5458333,0.45238093,0.4761905,0.43333334,0.48571426,0.44444445,0.48717946,0.52307695,0.5625,0.5769231,0.53333336,0.55,0.5208334,0.4666667,0.51428574,0.4923077,0.5138889,0.5,0.5833333,0.5833333,0.4375,0.4791667,0.4583333,0.55,0.45833334,0.453125,0.47222224,0.48888886,0.5208334,0.5625,0.484375,0.58928573,0.5208333,0.41666666,0.5111111,0.359375,0.5416667,0.59375,0.47916666,0.40625,0.5208334,0.5,0.5,0.45833334,0.4375,0.47916666,0.84583336,0.625,0.5714286,0.6,0.45833334,0.5192308,0.5192308,0.5,0.4166667,0.4166667,0.46666664,0.5,0.45833334,0.5,0.4666667,0.4888889,0.515625,0.4791667,0.5333333,0
