@relation out.arff_feaSele

@attribute Fea0 numeric
@attribute Fea1 numeric
@attribute Fea2 numeric
@attribute Fea3 numeric
@attribute Fea4 numeric
@attribute Fea5 numeric
@attribute Fea6 numeric
@attribute Fea7 numeric
@attribute Fea8 numeric
@ATTRIBUTE class {0,1} 

@data

0.4912281,0.5384615,0.48749998,0.4984615,0.55416673,0.42857143,0.52380955,0.5222222,0.44285712,0
0.58245605,0.6181318,0.5416666,0.5507692,0.56250006,0.5595238,0.4761905,0.4888889,0.55714285,0
0.4982456,0.4752747,0.4791667,0.48615387,0.4958333,0.5833333,0.54761904,0.5555555,0.55714285,0
0.5017544,0.53296703,0.5104167,0.5107692,0.5333333,0.60714287,0.59523815,0.5222222,0.5857143,0
0.42807016,0.44505492,0.41458333,0.4123077,0.45833334,0.5119048,0.4761905,0.44444448,0.45714283,0
0.48421052,0.49725273,0.4604167,0.47076926,0.49583337,0.5238095,0.64285713,0.56666666,0.5,0
0.5192982,0.48626375,0.4604167,0.47076923,0.5125,0.5952381,0.5,0.45555553,0.5285714,0
0.49122804,0.5164835,0.43125,0.4830769,0.5333333,0.47619048,0.4761905,0.45555553,0.4714286,0
0.55789477,0.5164835,0.5416667,0.51076925,0.4958333,0.5714286,0.5714286,0.5222222,0.6571428,0
0.43157896,0.45054942,0.39166665,0.4830769,0.475,0.5833333,0.54761904,0.56666666,0.5714286,0
0.49122807,0.5192307,0.47083333,0.52307695,0.50416666,0.52380955,0.45238096,0.42222223,0.5,0
0.44912282,0.48351648,0.42916667,0.52,0.55833334,0.45238099,0.45238096,0.44444445,0.42857143,0
0.47719297,0.4340659,0.4479167,0.46153846,0.5125,0.5119048,0.49999997,0.47777778,0.5142857,0
0.522807,0.554945,0.48958337,0.61846155,0.55833334,0.48809525,0.45238093,0.46666667,0.4571429,0
0.49824563,0.48626375,0.475,0.5538461,0.52500004,0.6785714,0.5714286,0.5,0.55714285,0
0.40701756,0.4917582,0.4166667,0.50153846,0.5458333,0.45238093,0.4761905,0.43333334,0.48571426,0
0.50526315,0.554945,0.5541666,0.5661538,0.56666666,0.5119048,0.5,0.5222222,0.55714285,0
0.5438596,0.5192308,0.5291667,0.52307695,0.5458333,0.5238095,0.4761905,0.5,0.5285715,0
0.46315792,0.5137362,0.51458335,0.5753846,0.5208334,0.4642857,0.5238095,0.4888889,0.4714286,0
0.53333336,0.5714285,0.5708333,0.5661539,0.49166667,0.6309524,0.52380955,0.46666667,0.55714285,0
0.54035085,0.57142854,0.56458336,0.5507692,0.5125,0.59523815,0.47619048,0.5111111,0.5142857,0
0.48771933,0.5384615,0.5125,0.5292308,0.5083333,0.5,0.5714286,0.5,0.4714286,0
0.48771927,0.4587912,0.4666667,0.44615385,0.475,0.5238095,0.4761905,0.4888889,0.4714286,0
0.4421053,0.45604393,0.4354167,0.41538462,0.44583333,0.5,0.4761905,0.5,0.5,0
0.44561404,0.43406588,0.42083335,0.48923075,0.49583337,0.50000006,0.5714286,0.5555556,0.5285715,0
0.5824562,0.65109885,0.59583336,0.6830769,0.6916668,0.52380955,0.5238095,0.47777778,0.55714285,0
0.61403507,0.5741758,0.55625,0.5415385,0.5,0.5119048,0.64285713,0.6111111,0.4714286,0
0.48421052,0.53021973,0.5083333,0.52000004,0.5083333,0.5,0.5,0.47777778,0.4714286,0
0.47368422,0.5054945,0.48333338,0.55692303,0.6166667,0.44047618,0.5714286,0.58888894,0.4857143,0
0.49473682,0.46703294,0.48541668,0.48923078,0.44166663,0.48809525,0.5714286,0.5111111,0.44285718,0
0.49122807,0.53296703,0.47708336,0.50769234,0.5541667,0.45238093,0.54761904,0.5111111,0.4857143,0
0.64912283,0.60164833,0.6104167,0.6430769,0.60833335,0.69047624,0.5714286,0.5111111,0.55714285,0
0.55438596,0.53021973,0.5291667,0.56923074,0.56250006,0.5357143,0.47619048,0.5222222,0.54285717,0
0.5017544,0.510989,0.47708336,0.5630769,0.4958333,0.5714286,0.52380955,0.54444444,0.4714286,0
0.49473685,0.47252747,0.49791673,0.57230765,0.5416667,0.50000006,0.54761904,0.51111114,0.5285714,0
0.51929826,0.56593406,0.46041667,0.5353846,0.59999996,0.5595238,0.5,0.45555553,0.54285717,0
0.50877196,0.5,0.48333338,0.50153846,0.48750004,0.5714286,0.49999997,0.4888889,0.47142857,0
0.51929826,0.48351648,0.51666665,0.49846154,0.4958333,0.45238093,0.47619048,0.4888889,0.5142857,0
0.48070177,0.49725273,0.41041666,0.43384618,0.5083333,0.5,0.45238093,0.45555556,0.5142857,0
0.61754394,0.66208786,0.54583335,0.6307692,0.6125,0.5,0.5,0.5,0.45714283,0
0.55438596,0.52472526,0.49375,0.50153846,0.53333336,0.60714287,0.5,0.4888889,0.4714286,0
0.48771927,0.4532967,0.5104167,0.48307693,0.5208333,0.5595238,0.5,0.43333334,0.5428571,0
0.49824563,0.4615384,0.47083336,0.5261538,0.55,0.47619048,0.59523815,0.62222224,0.5,0
0.4526316,0.47802195,0.43750003,0.48,0.47916666,0.5119048,0.45238099,0.4777778,0.59999996,0
0.5473684,0.5879121,0.5208333,0.55692303,0.53749996,0.52380955,0.42857143,0.43333334,0.54285717,0
0.47719294,0.45329666,0.45624998,0.4584615,0.5166667,0.5357143,0.4761905,0.44444448,0.45714286,0
0.56842107,0.53296703,0.5083333,0.48,0.47916666,0.5714286,0.4761905,0.4111111,0.5,0
0.47719297,0.47252747,0.50625,0.50461537,0.50416666,0.5833333,0.6190476,0.6444444,0.5142857,0
0.57894737,0.62362635,0.58125,0.5661539,0.5833333,0.5595238,0.4761905,0.45555556,0.4857143,0
